User ID,Latitude,Longitude,Smoker,Alcohol Consumption,Dress Code,Ambiance Preference,Transport,Marital Status,Children,Birth Year,Occupation,Budget,Place ID,Overall Rating,Food Rating,Service Rating,Cuisine
U1001,22.139997,-100.978803,False,Moderate,informal,family,on foot,single,independent,1989,student,medium,135051,1,1,2,American
U1001,22.139997,-100.978803,False,Moderate,informal,family,on foot,single,independent,1989,student,medium,135025,2,2,2,American
U1001,22.139997,-100.978803,False,Moderate,informal,family,on foot,single,independent,1989,student,medium,135033,1,1,1,American
U1001,22.139997,-100.978803,False,Moderate,informal,family,on foot,single,independent,1989,student,medium,135045,1,1,1,American
U1001,22.139997,-100.978803,False,Moderate,informal,family,on foot,single,independent,1989,student,medium,135039,1,1,1,American
U1001,22.139997,-100.978803,False,Moderate,informal,family,on foot,single,independent,1989,student,medium,135040,1,1,1,American
U1001,22.139997,-100.978803,False,Moderate,informal,family,on foot,single,independent,1989,student,medium,135085,0,1,1,American
U1001,22.139997,-100.978803,False,Moderate,informal,family,on foot,single,independent,1989,student,medium,132825,2,2,1,American
U1001,22.139997,-100.978803,False,Moderate,informal,family,on foot,single,independent,1989,student,medium,132830,1,1,1,American
U1002,22.150087,-100.983325,False,Moderate,informal,family,public,single,independent,1990,student,low,135085,1,1,1,Mexican
U1002,22.150087,-100.983325,False,Moderate,informal,family,public,single,independent,1990,student,low,132925,1,1,2,Mexican
U1002,22.150087,-100.983325,False,Moderate,informal,family,public,single,independent,1990,student,low,135041,2,1,0,Mexican
U1002,22.150087,-100.983325,False,Moderate,informal,family,public,single,independent,1990,student,low,135059,1,2,1,Mexican
U1002,22.150087,-100.983325,False,Moderate,informal,family,public,single,independent,1990,student,low,132862,2,2,2,Mexican
U1002,22.150087,-100.983325,False,Moderate,informal,family,public,single,independent,1990,student,low,135052,1,1,1,Mexican
U1002,22.150087,-100.983325,False,Moderate,informal,family,public,single,independent,1990,student,low,132825,2,2,0,Mexican
U1002,22.150087,-100.983325,False,Moderate,informal,family,public,single,independent,1990,student,low,135106,1,1,1,Mexican
U1002,22.150087,-100.983325,False,Moderate,informal,family,public,single,independent,1990,student,low,135062,1,2,1,Mexican
U1002,22.150087,-100.983325,False,Moderate,informal,family,public,single,independent,1990,student,low,132921,2,1,1,Mexican
U1003,22.119847,-100.946527,False,social drinker,formal,family,public,single,independent,1989,student,low,135059,2,2,2,Mexican
